Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,-9999,age_exact,position,starts,minutes,squad
Akram Afif,FWMF,qa Qatar,29,1.qa Al Sadd,1996,3,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fd53d9e7,29.0,FW,3,238,Qatar
Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1.tr Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,75f1ed80,28.0,DF,3,270,Côte d'Ivoire
Ali Ahmed,MF,ca Canada,25,2.eng Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,540a5be1,25.0,MF,3,234,Canada
Homam Ahmed,DF,qa Qatar,26,2.es Cultural Leonesa,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.0,0.74,0.74,0.0,0.74,a62fa158,26.0,DF,2,122,Qatar
Rayan Aït-Nouri,DF,dz Algeria,25,1.eng Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9b398aea,25.0,DF,3,284,Algeria
Kristoffer Ajer,DF,no Norway,28,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,a8c0acb7,28.0,DF,5,480,Norway
Manuel Akanji,DF,ch Switzerland,30,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89ac64a6,30.0,DF,6,600,Switzerland
Nathan Aké,DF,nl Netherlands,31,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eaeca114,31.0,DF,2,170,Netherlands
Yunus Akgün,MF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1453e3cf,25.0,MF,1,88,Türkiye
Kerem Aktürkoğlu,FW,tr Türkiye,27,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f28659fb,27.0,FW,2,129,Türkiye
David Alaba,DF,at Austria,33,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,05439de2,33.0,DF,4,275,Austria
Kerim Alajbegović,MF,ba Bosnia–Herz,18,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32,f3d9291e,18.0,MF,3,277,Bosnia–Herz
Jordy Alcivar,MF,ec Ecuador,26,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,6e98c19f,26.0,MF,1,45,Ecuador
Omar Alderete,DF,py Paraguay,29,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bb08bce9,29.0,DF,4,320,Paraguay
Hussein Ali,DF,iq Iraq,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b8a919ad,24.0,DF,2,162,Iraq
Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e53cbd7a,29.0,MF,1,135,Uzbekistan
Alisson,GK,br Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7a2e46a8,33.0,GK,5,450,Brazil
Thiago Almada,MF,ar Argentina,25,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27f33438,25.0,MF,3,241,Argentina
Miguel Almirón,MFFW,py Paraguay,32,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,862a1c15,32.0,MF,4,282,Paraguay
Júnior Alonso,DF,py Paraguay,33,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,b18a3023,33.0,DF,4,390,Paraguay
Barış Alper Yılmaz,MFFW,tr Türkiye,26,1.tr Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01,414b2ce4,26.0,MF,2,179,Türkiye
Roberto Alvarado,FWMF,mx Mexico,27,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.0,0.63,0.63,0.0,0.63,ff871e14,27.0,FW,5,428,Mexico
Edson Álvarez,MFDF,mx Mexico,28,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8b3ab7ad,28.0,MF,2,240,Mexico
Julián Álvarez,FW,ar Argentina,26,1.es Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15,15ab5a2b,26.0,FW,5,602,Argentina
Michael Amir Murillo,DFMF,pa Panama,30,1.tr Beşiktaş,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,349cae8f,30.0,DF,3,270,Panama
Amir Al Ammari,MF,iq Iraq,28,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.0,0.36,0.36,0.0,0.36,9f65be73,28.0,MF,3,247,Iraq
Sofyan Amrabat,MF,ma Morocco,29,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5a2cb25d,29.0,MF,1,147,Morocco
Abdulelah Al-Amri,DF,sa Saudi Arabia,29,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,fd0affe3,29.0,DF,3,239,Saudi Arabia
Elliot Anderson,MF,eng England,23,1.eng Nottingham,2002,8,7,632,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,de31038e,23.0,MF,7,632,England
Andrés Andrade Cedeño,DF,pa Panama,27,1.at LASK,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,6ea23758,27.0,DF,3,270,Panama
Fredrik André Bjørkan,DF,no Norway,27,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3724baa1,27.0,DF,1,45,Norway
Nilson Angulo,MF,ec Ecuador,22,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,a9b9d89c,22.0,MF,2,218,Ecuador
Houssem Aouar,MF,dz Algeria,27,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.0,1.04,1.04,0.0,1.04,a5db0bec,27.0,MF,2,173,Algeria
Oswin Appollis,MFFW,za South Africa,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e8933eb0,24.0,MF,3,255,South Africa
Yazan Al-Arab,DF,jo Jordan,30,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32878a09,30.0,DF,3,270,Jordan
Maxi Araújo,FWMF,uy Uruguay,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,f9ab3f4a,26.0,FW,3,250,Uruguay
Tomás Araújo,DF,pt Portugal,24,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0fa11d7d,24.0,DF,1,90,Portugal
Telmo Arcanjo,MF,cv Cabo Verde,24,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c692cef2,24.0,MF,1,57,Cabo Verde
Carlens Arcus,MFDF,ht Haiti,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,5e837126,29.0,MF,2,146,Haiti
Jhon Arias,MF,co Colombia,28,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,86d96066,28.0,MF,5,377,Colombia
Santiago Arias,DF,co Colombia,34,1.ar Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fdd60087,34.0,DF,1,86,Colombia
Marko Arnautović,FW,at Austria,37,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0.0,1.25,0.62,0.62,00459419,37.0,FW,1,144,Austria
Benjamin Asare,GK,gh Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4bb65492,33.0,GK,2,225,Ghana
Emam Ashour,MF,eg Egypt,28,1.eg Al Ahly,1998,5,5,362,4.0,2,0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5,31b7d437,28.0,MF,5,362,Egypt
Rustam Ashurmatov,DF,uz Uzbekistan,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a0ecd397,29.0,DF,3,256,Uzbekistan
Lawrence Ati-Zigi,GK,gh Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a12402c3,29.0,GK,2,135,Ghana
Marwan Attia,MF,eg Egypt,27,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,1ea3d7ec,27.0,MF,4,434,Egypt
Fredrik Aursnes,MFDF,no Norway,30,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f0677ed7,30.0,MF,3,304,Norway
Gabriel Ávalos,FW,py Paraguay,35,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b6781b67,35.0,FW,2,141,Paraguay
Yasin Ayari,MF,se Sweden,22,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0.0,0.53,0.53,0.53,f173303a,22.0,MF,4,339,Sweden
Oğuz Aydın,DF,tr Türkiye,25,1.tr Fenerbahçe,2000,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a7b98226,25.0,DF,1,89,Türkiye
Jordan Ayew,FW,gh Ghana,34,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,da052c14,34.0,FW,4,300,Ghana
Neil El Aynaoui,MF,ma Morocco,24,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17e1261b,24.0,MF,6,562,Morocco
Ali Azaizeh,MF,jo Jordan,22,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3a46ac67,22.0,MF,1,54,Jordan
Juninho Bacuna,MF,cw Curaçao,28,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,aaf1bf05,28.0,MF,3,254,Curaçao
Leandro Bacuna,MF,cw Curaçao,34,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9dc69d38,34.0,MF,3,270,Curaçao
Álex Baena,MFFW,es Spain,24,1.es Atlético Madrid,2001,7,7,481,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,518f2234,24.0,MF,7,481,Spain
Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,dff24174,21.0,MF,2,230,Bosnia–Herz
Cédric Bakambu,FW,cd Congo DR,35,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0af4dcf0,35.0,FW,3,190,Congo DR
Folarin Balogun,FW,us USA,24,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.0,0.87,0.87,0.87,31822f8c,24.0,FW,4,312,USA
Yoel Bárcenas,MF,pa Panama,32,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,b39849eb,32.0,MF,3,249,Panama
Bradley Barcola,MF,fr France,23,1.fr PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.7,0.23,0.94,0.7,0.94,a0d55a09,23.0,MF,4,384,France
Abdülkerim Bardakcı,DF,tr Türkiye,31,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5d9cff53,31.0,DF,3,265,Türkiye
Ivan Bašić,MF,ba Bosnia–Herz,24,1.kz FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,9b0a0d51,24.0,MF,2,179,Bosnia–Herz
Ahmed Basil,GK,iq Iraq,29,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3bf9e631,29.0,GK,2,135,Iraq
Martin Baturina,MFFW,hr Croatia,23,1.it Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,d1eda5f0,23.0,MF,4,321,Croatia
Ibrahim Bayesh,MFFW,iq Iraq,26,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2f2003ba,26.0,MF,3,235,Iraq
Riechedly Bazoer,DF,cw Curaçao,29,1.tr Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,da59a197,29.0,DF,1,90,Curaçao
Patrick Beach,GK,au Australia,22,1.au Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3cc64624,22.0,GK,4,388,Australia
Aziz Behich,MF,au Australia,35,1.au Melb City,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b6867b96,35.0,MF,2,217,Australia
Alireza Beiranvand,GK,ir IR Iran,33,1.ir Tractor,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6ca0b04a,33.0,GK,3,270,IR Iran
Rafik Belghali,DF,dz Algeria,24,1.it Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,0abcb968,24.0,DF,4,331,Algeria
Joe Bell,MF,nz New Zealand,27,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7825847e,27.0,MF,3,243,New Zealand
Jean-Ricner Bellegarde,MF,ht Haiti,27,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10f0fdd3,27.0,MF,3,260,Haiti
Jude Bellingham,MF,eng England,22,1.es Real Madrid,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15,1.17,1.03,1.17,57d88cf9,22.0,MF,7,614,England
Anis Ben Slimane,MFFW,tn Tunisia,25,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9ade9ce1,25.0,MF,3,240,Tunisia
Oussama Benbot,GK,dz Algeria,31,1.dz USM Alger,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,dcae580c,31.0,GK,1,90,Algeria
Gilson Benchimol,FW,cv Cabo Verde,24,1.ru Akron Tolyatti,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eae26fce,24.0,FW,1,78,Cabo Verde
Ramy Bensebaini,DF,dz Algeria,31,1.de Dortmund,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,378825c7,31.0,DF,4,360,Algeria
Nabil Bentaleb,MF,dz Algeria,31,1.fr Lille,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3189f61a,31.0,MF,3,285,Algeria
Rodrigo Bentancur,MF,uy Uruguay,28,1.eng Tottenham,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3b8674e6,28.0,MF,3,270,Uruguay
Patrick Berg,MF,no Norway,28,1.no Bodø/Glimt,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0.0,0.4,0.4,0.0,0.4,e4114f5d,28.0,MF,4,445,Norway
Sander Berge,MF,no Norway,28,1.eng Fulham,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d0b6129f,28.0,MF,5,480,Norway
Lucas Bergvall,MF,se Sweden,20,1.eng Tottenham,2006,4,1,181,2.0,0,1,1,0,0,0,1,0,0.0,0.5,0.5,0.0,0.5,a109e5c8,20.0,MF,1,181,Sweden
Sebastian Berhalter,MF,us USA,25,1.us Vancouver,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48,0.96,0.48,0.96,f33ee427,25.0,MF,1,187,USA
Alexander Bernhardsson,MF,se Sweden,27,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,dea1d183,27.0,MF,3,217,Sweden
Tyler Bindon,DF,nz New Zealand,21,2.eng Sheffield United,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3575e5eb,21.0,DF,1,97,New Zealand
César Blackman,MFDF,pa Panama,28,1.sk Slovan Bratislava,1998,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,c2b11050,28.0,MF,2,178,Panama
Damián Bobadilla,MF,py Paraguay,24,1.br São Paulo,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ad7d6437,24.0,MF,2,189,Paraguay
Oscar Bobb,FW,no Norway,22,1.eng Fulham,2003,6,1,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eed2427e,22.0,FW,1,225,Norway
Moïse Bombito,DF,ca Canada,26,1.fr Nice,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c2f23fc8,26.0,DF,2,193,Canada
Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,1.it Inter,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,64629ba4,22.0,FW,3,234,Côte d'Ivoire
Jordy Bos,MFDF,au Australia,23,1.nl Feyenoord,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8070a9fd,23.0,MF,4,308,Australia
Ayyoub Bouaddi,MF,ma Morocco,18,1.fr Lille,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8006228f,18.0,MF,5,381,Morocco
Hicham Boudaoui,MF,dz Algeria,26,1.fr Nice,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,f9d5908e,26.0,MF,2,128,Algeria
Karim Boudiaf,MF,qa Qatar,35,1.qa Al Duhail SC,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a38f33fd,35.0,MF,1,102,Qatar
Yassine Bounou,GK,ma Morocco,35,1.sa Al-Hilal,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f6798fc3,35.0,GK,6,570,Morocco
Nawaf Boushal,DF,sa Saudi Arabia,26,1.sa Al-Nassr,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7dc1c2c6,26.0,DF,1,91,Saudi Arabia
Michael Boxall,DF,nz New Zealand,37,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6bfa0d3a,37.0,DF,2,207,New Zealand
Sultan Al-Brake,DF,qa Qatar,30,1.qa Al Duhail SC,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,fcaa2400,30.0,DF,1,141,Qatar
Joshua Brenet,DF,cw Curaçao,32,1.tr Kayserispor,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2b5527c4,32.0,DF,2,179,Curaçao
Brian Brobbey,FW,nl Netherlands,24,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.0,1.21,1.21,1.21,4c184730,24.0,FW,3,223,Netherlands
Dylan Bronn,DF,tn Tunisia,30,1.ch Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,edd81e2a,30.0,DF,1,45,Tunisia
Nathaniel Brown,DF,de Germany,22,1.de Frankfurt,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,abc79c47,22.0,DF,3,282,Germany
Tajon Buchanan,MF,ca Canada,27,1.es Villarreal,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3aca6420,27.0,MF,5,376,Canada
Ante Budimir,FW,hr Croatia,34,1.es Osasuna,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58,8f3565b3,34.0,FW,2,155,Croatia
Firas Al-Buraikan,FW,sa Saudi Arabia,26,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ac717a23,26.0,FW,3,238,Saudi Arabia
Cameron Burgess,DF,au Australia,30,2.eng Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,da61ca98,30.0,DF,2,135,Australia
Jovane Cabral,FW,cv Cabo Verde,28,1.pt Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e34e086c,28.0,FW,2,139,Cabo Verde
Liberato Cacace,DF,nz New Zealand,25,2.eng Wrexham,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,dd86e8e4,25.0,DF,3,220,New Zealand
Juan Cáceres,DF,py Paraguay,26,1.ru Dynamo Moskva,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,db887bdf,26.0,DF,5,436,Paraguay
Sebastián Cáceres,DF,uy Uruguay,26,1.mx América,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7091c68e,26.0,DF,3,270,Uruguay
Moisés Caicedo,MF,ec Ecuador,24,1.eng Chelsea,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16264a81,24.0,MF,4,360,Ecuador
