Team,FBref_Flag_Code,Average_Possession_Percent,Players_Used,Minutes_90s,Squad_As_Displayed,Scope,Source_URL
Côte d'Ivoire,ci,49.8,22,4.0,ci Côte d'Ivoire,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Ecuador,ec,55.8,21,4.0,ec Ecuador,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Egypt,eg,51.4,21,5.3,eg Egypt,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
England,eng,54.1,24,8.3,eng England,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
France,fr,55.9,22,8.0,fr France,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Germany,de,65.0,23,4.3,de Germany,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Ghana,gh,36.3,22,4.0,gh Ghana,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Haiti,ht,42.7,18,3.0,ht Haiti,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
IR Iran,ir,39.0,20,3.0,ir IR Iran,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Iraq,iq,38.3,25,3.0,iq Iraq,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Japan,jp,46.3,24,4.0,jp Japan,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Jordan,jo,30.7,20,3.0,jo Jordan,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Korea Republic,kr,63.0,20,3.0,kr Korea Republic,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Mexico,mx,52.2,25,5.0,mx Mexico,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Morocco,ma,59.0,23,6.3,ma Morocco,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Netherlands,nl,53.3,22,4.3,nl Netherlands,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
New Zealand,nz,47.0,17,3.0,nz New Zealand,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Norway,no,52.2,25,6.3,no Norway,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Panama,pa,45.7,20,3.0,pa Panama,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Paraguay,py,30.0,24,5.3,py Paraguay,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Portugal,pt,58.4,22,5.0,pt Portugal,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Qatar,qa,33.0,22,3.0,qa Qatar,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Saudi Arabia,sa,38.3,18,3.0,sa Saudi Arabia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Scotland,sct,44.3,20,3.0,sct Scotland,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Senegal,sn,55.3,22,4.3,sn Senegal,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
South Africa,za,48.0,19,4.0,za South Africa,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Spain,es,64.1,22,8.3,es Spain,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Sweden,se,46.3,22,4.0,se Sweden,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Switzerland,ch,54.0,23,6.7,ch Switzerland,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Tunisia,tn,39.3,20,3.0,tn Tunisia,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Türkiye,tr,66.3,23,3.0,tr Türkiye,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Uruguay,uy,55.0,17,3.0,uy Uruguay,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
USA,us,56.8,24,5.0,us USA,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
Uzbekistan,uz,38.3,23,3.0,uz Uzbekistan,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
