Squad_As_Displayed,Average_Possession_Percent,Players_Used,Minutes_90s,Scope,Source_URL
jp Japan,46.3,24,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
jo Jordan,30.7,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
kr Korea Republic,63.0,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
mx Mexico,52.2,25,5.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ma Morocco,59.0,23,6.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
nl Netherlands,53.3,22,4.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
nz New Zealand,47.0,17,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
no Norway,52.2,25,6.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
pa Panama,45.7,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
py Paraguay,30.0,24,5.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
pt Portugal,58.4,22,5.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
qa Qatar,33.0,22,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
sa Saudi Arabia,38.3,18,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
sct Scotland,44.3,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
sn Senegal,55.3,22,4.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
za South Africa,48.0,19,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
es Spain,64.1,22,8.3,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
se Sweden,46.3,22,4.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
ch Switzerland,54.0,23,6.7,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
tn Tunisia,39.3,20,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
tr Türkiye,66.3,23,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
uy Uruguay,55.0,17,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
us USA,56.8,24,5.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
uz Uzbekistan,38.3,23,3.0,Whole tournament (includes knockout matches),https://fbref.com/en/comps/1/possession/World-Cup-Stats
